<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.12.14	07:00:00	1.18254	1.18254	1.18207	1.18230	316	0	19
2017.12.14	07:15:00	1.18227	1.18247	1.18198	1.18200	219	0	20
2017.12.14	07:30:00	1.18200	1.18230	1.18176	1.18227	299	0	20
2017.12.14	07:45:00	1.18226	1.18237	1.18198	1.18226	368	0	19
2017.12.14	08:00:00	1.18225	1.18244	1.18163	1.18236	720	0	19
2017.12.14	08:15:00	1.18233	1.18247	1.18217	1.18230	569	0	19
2017.12.14	08:30:00	1.18229	1.18247	1.18140	1.18149	756	0	19
2017.12.14	08:45:00	1.18149	1.18178	1.18098	1.18171	828	0	18
2017.12.14	09:00:00	1.18169	1.18250	1.18159	1.18241	811	0	19
2017.12.14	09:15:00	1.18239	1.18325	1.18205	1.18291	980	0	19
2017.12.14	09:30:00	1.18318	1.18368	1.18276	1.18301	1138	0	18
2017.12.14	09:45:00	1.18304	1.18348	1.18246	1.18254	888	0	19
2017.12.14	10:00:00	1.18252	1.18273	1.18159	1.18208	1163	0	18
2017.12.14	10:15:00	1.18209	1.18246	1.18183	1.18224	729	0	19
2017.12.14	10:30:00	1.18224	1.18286	1.18217	1.18250	784	0	19
2017.12.14	10:45:00	1.18251	1.18258	1.18117	1.18183	912	0	18
2017.12.14	11:00:00	1.18183	1.18226	1.18181	1.18203	845	0	18
2017.12.14	11:15:00	1.18202	1.18246	1.18155	1.18185	731	0	19
2017.12.14	11:30:00	1.18183	1.18191	1.18114	1.18161	879	0	18
2017.12.14	11:45:00	1.18161	1.18334	1.18159	1.18331	819	0	19
2017.12.14	12:00:00	1.18331	1.18362	1.18281	1.18284	983	0	19
2017.12.14	12:15:00	1.18286	1.18287	1.18217	1.18240	617	0	18
2017.12.14	12:30:00	1.18241	1.18263	1.18193	1.18256	656	0	19
2017.12.14	12:45:00	1.18254	1.18315	1.18233	1.18243	675	0	18
2017.12.14	13:00:00	1.18244	1.18298	1.18227	1.18293	1116	0	18
2017.12.14	13:15:00	1.18294	1.18410	1.18271	1.18378	1124	0	18
2017.12.14	13:30:00	1.18376	1.18439	1.18260	1.18288	1130	0	18
2017.12.14	13:45:00	1.18290	1.18359	1.18241	1.18317	1525	0	18
2017.12.14	14:00:00	1.18321	1.18441	1.18305	1.18437	1310	0	18
2017.12.14	14:15:00	1.18445	1.18474	1.18376	1.18417	1102	0	18
2017.12.14	14:30:00	1.18381	1.18618	1.18264	1.18392	3415	0	18
2017.12.14	14:45:00	1.18395	1.18436	1.18151	1.18200	2637	0	18
2017.12.14	15:00:00	1.18202	1.18237	1.17989	1.18151	2215	0	18
2017.12.14	15:15:00	1.18151	1.18258	1.18016	1.18016	1842	0	18
2017.12.14	15:30:00	1.18020	1.18104	1.17989	1.18088	1727	0	18
2017.12.14	15:45:00	1.18088	1.18132	1.17937	1.18007	1514	0	18
2017.12.14	16:00:00	1.18006	1.18053	1.17944	1.17956	1659	0	18
2017.12.14	16:15:00	1.17957	1.17977	1.17808	1.17824	1396	0	18
2017.12.14	16:30:00	1.17824	1.17827	1.17730	1.17768	1220	0	18
2017.12.14	16:45:00	1.17768	1.17820	1.17701	1.17766	1345	0	18
2017.12.14	17:00:00	1.17770	1.17819	1.17717	1.17725	1555	0	18
2017.12.14	17:15:00	1.17727	1.17766	1.17700	1.17729	1092	0	18
2017.12.14	17:30:00	1.17731	1.17766	1.17704	1.17719	1002	0	19
2017.12.14	17:45:00	1.17715	1.17821	1.17698	1.17759	995	0	19
2017.12.14	18:00:00	1.17759	1.17766	1.17710	1.17741	661	0	18
2017.12.14	18:15:00	1.17741	1.17799	1.17719	1.17797	591	0	19
2017.12.14	18:30:00	1.17798	1.17861	1.17783	1.17839	937	0	18
2017.12.14	18:45:00	1.17839	1.17888	1.17825	1.17870	880	0	18
2017.12.14	19:00:00	1.17870	1.17949	1.17829	1.17946	1147	0	18
2017.12.14	19:15:00	1.17948	1.17990	1.17924	1.17932	1097	0	19
2017.12.14	19:30:00	1.17937	1.17949	1.17897	1.17928	797	0	19
2017.12.14	19:45:00	1.17929	1.17990	1.17927	1.17964	855	0	18
2017.12.14	20:00:00	1.17961	1.17989	1.17938	1.17982	777	0	19
