Licenciatura,1ero,Promedio,2do,3ero
Contaduria y Finanzas,7.83,7.966666666666666,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.17,8.746666666666668,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.57,5.523333333333333,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.8,9.383333333333333,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.37,8.74,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.37,9.456666666666665,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.6,8.833333333333334,7.659574468085107,6.971063829787231
Contaduria y Finanzas,7.53,8.843333333333334,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.73,8.876666666666667,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.97,8.606666666666667,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.36,8.523333333333333,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.83,9.133333333333333,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.2,7.59,7.659574468085107,6.971063829787231
Contaduria y Finanzas,0.0,0.0,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.73,9.36,7.659574468085107,6.971063829787231
Contaduria y Finanzas,0.0,0.0,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.93,8.116666666666667,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.57,8.69,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.1,8.316666666666668,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.55,8.540000000000001,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.73,9.21,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.67,9.556666666666667,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.1,8.056666666666667,7.659574468085107,6.971063829787231
Contaduria y Finanzas,6.5,2.1666666666666665,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.33,8.726666666666667,7.659574468085107,6.971063829787231
