Entidad_federativa,Año,"Población_miles
",Rezago_educativo,Carencia_por_acceso_a_los_servicios_de_salud,Carencia_por_acceso_a_la_seguridad_social,Carencia_por_calidad_y_espacios_de_la_vivienda,Carencia_por_acceso_a_los_servicios_básicos_en_la_vivienda,Carencia_por_acceso_a_la_alimentación,Población_con_ingreso_inferior_a_la_línea_de_pobreza_extrema_por_ingresos,Población_con_ingreso_inferior_a_la_línea_de_pobreza_por_ingresos
Michoacán,2014,4571.74,27.57,26.21,71.26,15.44,26.56,34.66,24.42,63.33
Morelos,2014,1901.08,16.56,16.63,66.20,13.42,24.61,26.85,20.53,58.41
Nayarit,2014,1206.88,17.36,16.26,54.35,10.12,15.31,24.14,18.80,47.02
Nuevo_León,2014,5021.73,10.78,13.67,33.44,4.56,4.33,14.16,6.37,29.49
Oaxaca,2014,3989.13,27.20,19.93,77.91,24.53,60.48,36.11,42.11,68.85
Puebla,2014,6134.17,22.95,21.17,75.15,18.93,30.61,23.85,31.85,69.66
Querétaro,2014,1977.10,16.41,15.82,54.31,8.94,14.79,15.77,12.27,42.00
Quintana_Roo,2014,1541.20,15.15,18.46,51.49,18.42,18.06,23.24,14.30,42.13
San_Luis_Potosí,2014,2725.18,18.44,10.71,59.12,11.00,28.14,21.65,23.22,56.74
Sinaloa,2014,2964.40,19.10,15.20,49.33,10.78,17.98,29.64,13.47,46.27
Sonora,2014,2902.36,12.11,14.42,41.80,10.13,8.87,24.86,9.69,36.63
Tabasco,2014,2359.84,16.96,16.92,72.75,13.41,43.94,45.03,17.87,51.92
Tamaulipas,2014,3508.92,15.96,15.02,45.52,8.21,11.49,19.51,16.14,49.15
Tlaxcala,2014,1264.50,14.93,17.48,71.47,9.42,12.10,24.00,27.05,66.59
Veracruz,2014,7989.35,27.80,21.73,68.46,16.84,40.04,30.00,29.18,63.02
Yucatán,2014,2088.93,21.82,14.48,54.45,17.48,40.37,18.37,20.72,52.81
Zacatecas,2014,1566.10,21.61,14.86,63.37,4.89,13.35,16.83,26.71,59.67
